证券代码,订单日期,证券名称,订单等级,订单数量,订单金额,折扣点,运输方式,2018净利润（万元）,单价,运输成本,区域,省份,产品类型,行业类别,产品名称,产品包箱,运输日期
11460,2010/8/24 0:00,余伟 ,高级,30,102.24,0.09,火车,37.79,3.69,0.5,华东,海南,办公用品,技术硬件与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/8/26 0:00
11972,2009/1/3 0:00,傅天骄,其它,4,896.49,0,大卡,-452.27,213.45,14.7,华东,海南,技术产品,技术硬件与设备,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/1/5 0:00
13027,2012/1/15 0:00,赵伟,中级,42,290.68,0.03,火车,-93.5,6.78,6.18,华东,河北,办公用品,技术硬件与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/17 0:00
13218,2009/5/16 0:00,徐艳红,高级,16,98.8,0.07,火车,-62,5.98,7.15,华东,河北,办公用品,技术硬件与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/5/18 0:00
14114,2009/4/6 0:00,唐晨,中级,29,65.16,0.03,火车,-7.04,2.18,1.38,华东,河南,办公用品,家庭与个人用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/4/6 0:00
14789,2010/11/29 0:00,白秋富,其它,37,438.07,0,空运,12.06,10.89,4.5,华东,河南,办公用品,家庭与个人用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/12/1 0:00
15236,2012/4/9 0:00,马立强,其它,33,341.42,0.06,火车,71.5,10.91,2.99,华东,河南,办公用品,零售业,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/4/10 0:00
16230,2010/2/27 0:00,范钺,低级,2,13.3,0.09,火车,-7.86,7.31,0.49,华东,河南,办公用品,零售业,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/3/1 0:00
16804,2012/3/10 0:00,魏松敏,高级,36,218.6,0.05,空运,-46.43,5.78,4.96,华东,黑龙江,办公用品,媒体与娱乐,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/3/11 0:00
20002,2012/8/12 0:00,朱春龙,中级,9,41.03,0.1,火车,-30.47,4.77,2.39,华东,黑龙江,技术产品,媒体与娱乐,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2012/8/13 0:00
21729,2012/12/6 0:00,王曦敏,低级,28,120.98,0,火车,-92.85,4.13,5.34,华东,湖北,办公用品,保险,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/10 0:00
21731,2011/11/26 0:00,郝磊,低级,26,1580.57,0.08,火车,-750.82,60.98,49,华东,湖北,办公用品,耐用消费品与服装,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/11/26 0:00
24576,2012/12/11 0:00,王国平,其它,10,152.84,0.05,火车,38.02,14.58,7.4,华东,湖南,家具产品,耐用消费品与服装,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/13 0:00
24646,2011/4/15 0:00,肖珊,其它,21,61.18,0,火车,6.85,2.88,0.7,华东,湖南,办公用品,耐用消费品与服装,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/4/17 0:00
25635,2012/5/29 0:00,贺晓波,中级,22,110.42,0.09,火车,-36.6,5.08,3.63,华东,吉林,家具产品,能源,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/5/30 0:00
26276,2010/9/12 0:00,马林,低级,19,20329.8,0,火车,9224.1,999.99,13.99,华东,吉林,技术产品,能源,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2010/9/16 0:00
26529,2011/1/28 0:00,李瑞礼  ,低级,41,12125.14,0.08,大卡,3376.03,297.64,14.7,华东,江苏,技术产品,汽车与汽车零部件,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2011/2/1 0:00
26567,2009/9/4 0:00,张子良,中级,8,50.7,0.08,火车,-44.07,5.4,7.78,华东,江苏,办公用品,汽车与汽车零部件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/9/4 0:00
26919,2012/12/10 0:00,黄悦,低级,32,155.27,0.1,火车,-151.55,4.98,7.54,华东,江西,办公用品,软件与服务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/12 0:00
26947,2010/6/4 0:00,孙建东,高级,4,467.15,0.01,大卡,-212.34,100.8,60,华东,江西,家具产品,软件与服务,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2010/6/7 0:00
27236,2010/3/2 0:00,胡羽,高级,20,393.31,0.04,火车,84.3,19.98,5.86,华东,江西,办公用品,软件与服务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/3/3 0:00
28033,2010/9/14 0:00,高浩,高级,18,127.56,0.01,火车,-57.11,6.6,4.07,华东,辽宁,技术产品,商业和专业服务,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/9/17 0:00
28069,2009/5/21 0:00,胡磊,低级,4,23.58,0.09,火车,-2.87,5.84,0.83,华东,辽宁,办公用品,商业和专业服务,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/5/25 0:00
28515,2010/6/30 0:00,吴振华,高级,33,750.86,0,火车,302.12,21.38,2.99,华东,内蒙古,办公用品,食品、饮料与烟草,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/7/1 0:00
29380,2009/4/27 0:00,方小月,其它,13,150.13,0.09,火车,1.73,12.28,4.86,华东,内蒙古,办公用品,食品、饮料与烟草,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/4/28 0:00
30276,2011/8/26 0:00,杨青烦,低级,44,1453.704,0,火车,549.84,35.99,1.1,华东,宁夏,技术产品,食品与主要用品零售,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/8/30 0:00
30276,2011/8/26 0:00,杨青烦,低级,34,7656.304,0.1,大卡,-715.78,296.18,54.12,华东,宁夏,家具产品,食品与主要用品零售,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2011/8/30 0:00
30720,2012/9/27 0:00,吕佳 ,低级,5,32.77,0.07,火车,-17.19,5.74,5.01,华东,青海,办公用品,消费者服务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/10/4 0:00
31330,2010/6/1 0:00,饶展 ,高级,2,13.5,0.04,火车,-7.9,5.98,1.67,华东,青海,办公用品,消费者服务,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/6/2 0:00
31682,2010/3/9 0:00,杨青烦,低级,42,3186.77,0.09,火车,455.42,76.72,19.95,华东,山东,办公用品,医疗保健设备与服务,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2010/3/18 0:00
32102,2012/12/14 0:00,赵彩瑞,中级,2,19.81,0.02,火车,-10.39,6.48,6.22,华东,山东,办公用品,医疗保健设备与服务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/16 0:00
32966,2012/1/26 0:00,许磊,低级,4,1035.2,0.08,大卡,-668.06,270.97,28.06,华东,山西,技术产品,银行,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/2/2 0:00
33826,2010/12/19 0:00,谢语乔,低级,13,185.83,0.03,火车,58.16,14.34,5,华东,山西,家具产品,银行,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/12/23 0:00
34246,2010/10/7 0:00,孟红飞,中级,27,322.69,0.01,火车,1.91,11.58,6.97,华东,陕西,办公用品,原材料,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/10/9 0:00
34976,2012/11/24 0:00,郭晓文,中级,45,4475,0.02,大卡,-1523.77,95.95,74.35,华东,陕西,家具产品,原材料,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/11/26 0:00
34979,2010/9/28 0:00,肖海峰,中级,15,609.97,0,火车,62.93,39.48,1.99,华东,上海,技术产品,运输,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/9/30 0:00
36068,2009/2/5 0:00,张玉_,中级,23,6133.18,0.06,大卡,1243.17,279.81,23.19,华东,上海,办公用品,运输,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/2/6 0:00
36099,2010/9/17 0:00,曹广丽,低级,15,926.3,0.09,火车,-503.8,64.65,35,华东,上海,办公用品,运输,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2010/9/22 0:00
36101,2012/8/20 0:00,傅天骄,高级,3,446.05,0.09,大卡,-271.26,140.98,53.48,华东,上海,家具产品,运输,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2012/8/21 0:00
38501,2009/4/28 0:00,杨高宁,中级,11,78.68,0.05,火车,-29.07,6.48,6.22,华东,上海,办公用品,运输,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/4/29 0:00
39330,2010/7/17 0:00,吴峰岩,中级,29,184.77,0,空运,-71.96,5.74,5.3,华东,四川,办公用品,制药、生物科技和生命科学,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/7/18 0:00
40132,2012/2/23 0:00,张波涛,低级,16,347.47,0.09,火车,-86.2,22.38,15.1,华东,四川,办公用品,制药、生物科技和生命科学,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/3/2 0:00
41221,2009/9/12 0:00,赵永根,中级,4,345.57,0.06,火车,-218.77,80.98,35,华东,天津,办公用品,资本品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2009/9/13 0:00
41350,2010/5/8 0:00,赵岩东,中级,1,423.3,0.01,火车,-259.01,419.19,19.99,华东,天津,办公用品,资本品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/5/9 0:00
42209,2010/3/29 0:00,胡小山,高级,31,8901.78,0.04,火车,2795.36,276.2,24.49,华东,天津,家具产品,综合金融,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2010/4/1 0:00
42213,2011/3/21 0:00,胡小山,中级,46,110.96,0.08,火车,35.92,2.61,0.5,华东,西藏,办公用品,综合金融,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/3/23 0:00
42886,2012/1/8 0:00,张槟,中级,42,162.57,0.02,火车,75.8,3.75,0.5,华东,西藏,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/10 0:00
42887,2012/6/10 0:00,刘海华,中级,3,498.49,0.01,大卡,-251.41,145.98,51.92,华东,西藏,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2012/6/12 0:00
42918,2011/5/22 0:00,王向,高级,46,648.26,0.07,火车,30.48,14.27,7.27,华东,西藏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/5/24 0:00
42979,2011/5/1 0:00,吴祺丽,其它,29,2770.79,0.02,大卡,109.39,90.98,30,华东,新疆,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2011/5/3 0:00
43267,2011/5/16 0:00,李雪艳 ,中级,17,1368.14,0.05,空运,171.26,76.72,19.95,华东,新疆,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/5/18 0:00
43302,2011/8/23 0:00,张鹏华,低级,39,6888.6635,0.03,火车,1925.58,205.99,5,华东,新疆,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/8/30 0:00
43972,2010/3/16 0:00,张凤,低级,12,714.391,0,火车,-62.33,65.99,8.99,华东,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/3/18 0:00
44290,2010/3/21 0:00,胡小鱼,中级,28,281.09,0.01,火车,-114.58,9.06,9.86,华东,云南,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/3/23 0:00
45248,2011/4/16 0:00,那木,中级,32,4941.7725,0.1,火车,704.89,195.99,8.99,华东,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/4/18 0:00
45543,2011/2/2 0:00,赵丽,低级,16,1223.43,0.01,大卡,-1615.59,70.89,89.3,华东,浙江,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2011/2/6 0:00
45606,2011/9/22 0:00,郭红菱,中级,38,325.75,0.1,火车,-124.25,8.75,8.54,华东,浙江,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2011/9/24 0:00
46241,2009/3/14 0:00,李维晗,其它,34,1932.58,0.1,火车,356.48,62.18,10.84,华东,上海,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2009/3/16 0:00
46276,2012/12/9 0:00,黄悦,中级,4,114.83,0.04,火车,-52.62,28.48,1.99,华东,重庆,技术产品,综合金融,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2012/12/10 0:00
47493,2009/2/11 0:00,马红菱,中级,36,9757.48,0.07,大卡,-96.05,270.98,50,华东,重庆,家具产品,综合金融,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/2/13 0:00
47909,2010/3/9 0:00,宗峰岩,中级,48,843.03,0.08,火车,419.9,20.99,0.99,华东,上海,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/3/11 0:00
47943,2009/11/14 0:00,周雨生,中级,48,777.76,0.02,火车,63.46,15.94,5.45,华东,上海,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/11/15 0:00
48609,2010/2/24 0:00,邓芳,高级,5,186.5,0.04,空运,4.16,37.44,4.27,华东,上海,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/2/25 0:00
48615,2012/12/3 0:00,谢子扬,低级,4,16.91,0.08,火车,0.21,4.13,0.5,华东,上海,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/7 0:00
49767,2010/11/8 0:00,张燕,中级,39,5196.19,0.1,火车,2052.13,140.99,13.99,华东,上海,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2010/11/9 0:00
49831,2010/8/23 0:00,张东,中级,18,274.32,0.01,火车,-58.24,15.14,4.53,华东,上海,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/8/25 0:00
50118,2010/3/18 0:00,李雪艳 ,其它,19,337.38,0,大卡,-409.79,15.23,27.75,华东,上海,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2010/3/19 0:00
50209,2010/9/10 0:00,逄金龙,高级,2,53.3,0,火车,-46.2,20.89,11.52,华东,上海,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/9/11 0:00
50210,2010/7/19 0:00,逄金龙,低级,47,178.51,0,火车,82.3,3.75,0.5,华东,上海,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/7/24 0:00
50850,2009/5/6 0:00,胡炎,中级,2,942.42,0.02,大卡,-634.87,417.4,75.23,华东,上海,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/5/7 0:00
52999,2012/4/25 0:00,孙道敏,其它,7,44.63,0.1,火车,-21.19,5.78,5.67,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/4/25 0:00
54368,2011/11/1 0:00,赵宣宣,其它,31,233.2,0.04,火车,-48.07,7.64,5.83,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/11/3 0:00
54371,2012/2/15 0:00,李瑞瑞,其它,7,118.63,0.05,火车,6.3,16.74,5.08,华东,上海,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/2/17 0:00
54401,2011/12/4 0:00,李瑞瑞,高级,34,670.02,0.07,火车,278.58,20.98,1.49,华东,上海,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/12/6 0:00
55460,2012/5/26 0:00,聂帅,高级,12,61.82,0.1,火车,-10.45,5.34,2.99,华东,上海,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/5/27 0:00
55462,2012/3/27 0:00,张槟   ,中级,31,1184.53,0.05,火车,-26.49,39.98,7.12,华东,上海,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/3/28 0:00
55490,2009/11/16 0:00,乔辉,中级,3,246.2,0.04,大卡,-184.16,70.89,89.3,华东,上海,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/11/17 0:00
56001,2010/4/12 0:00,吕文龙,低级,17,118.36,0.08,空运,-60.65,6.48,7.37,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/4/16 0:00
56610,2010/3/7 0:00, 周游,中级,20,857.95,0.08,空运,51.85,43.22,4,华东,上海,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/3/7 0:00
57606,2010/1/3 0:00,傅飞,其它,37,294.48,0.08,火车,-64.24,8.46,3.62,华东,上海,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/1/4 0:00
59015,2012/5/26 0:00,邱威微,中级,32,1662.33,0.02,火车,783.84,48.91,5.81,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/5/28 0:00
59974,2012/4/14 0:00,邱海华,高级,5,26.5,0.01,空运,2.61,4.26,1.2,华东,上海,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/4/15 0:00
59982,2012/3/10 0:00,赵子武,中级,3,4.94,0.1,火车,-1.76,1.48,0.7,华东,上海,办公用品,橡皮筋,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/3/12 0:00
59982,2010/9/30 0:00,赵子武,低级,3,22.06,0.05,火车,-15.6,4.98,7.44,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/10/4 0:00
59983,2009/12/6 0:00,赵子武,高级,26,182.09,0,火车,-28.15,6.48,5.19,华东,上海,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/12/7 0:00
59985,2012/3/10 0:00,邓久光,中级,14,1961.39,0,火车,761.04,136.98,24.49,华东,上海,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2012/3/11 0:00
59986,2010/1/10 0:00,吴小月,中级,11,1091.47,0.04,火车,160.48,92.23,39.61,华东,上海,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2010/1/11 0:00
44615,2010/5/9 0:00,唐晋伟,中级,19,36.37,0.07,火车,-10.26,1.88,1.49,西南,云南,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/5/10 0:00
44646,2012/1/4 0:00,张凤,低级,47,12723.95,0.08,火车,11.54,279.48,35,西南,云南,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2012/1/8 0:00
45409,2010/4/12 0:00,张文标,中级,50,893.1375,0,火车,11,20.99,1.25,西南,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/4/15 0:00
45893,2011/5/26 0:00,闫玉红,高级,15,68.03,0.05,火车,8.87,4.49,1.49,西南,云南,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/5/27 0:00
46849,2010/12/13 0:00,梁东  ,其它,23,188.54,0.09,火车,9.82,8.33,1.99,西南,云南,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/12/14 0:00
47108,2009/10/15 0:00,张剑,其它,26,258.11,0.1,空运,9.95,9.99,4.78,西南,云南,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/10/18 0:00
47846,2012/8/11 0:00,景珑,高级,25,2674.18,0.06,火车,631.99,110.98,13.99,西南,云南,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2012/8/13 0:00
48704,2012/1/9 0:00,罗晓娜,高级,11,1247.8595,0.01,火车,-55.8,125.99,8.99,西南,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/10 0:00
50051,2009/10/4 0:00,包若男,中级,4,185.15,0.09,火车,10.2,41.47,34.2,西南,云南,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/10/6 0:00
52416,2009/1/31 0:00,高中明,其它,40,9141.64,0.04,大卡,-528.65,218.75,69.64,西南,云南,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/2/1 0:00
52642,2011/6/14 0:00,高鹏,低级,15,764.13,0.09,火车,276.98,55.98,4.86,西南,云南,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/6/21 0:00
52645,2012/3/7 0:00,邱平敏,低级,11,64.34,0.09,火车,-8.37,5.85,2.27,西南,云南,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/3/12 0:00
54051,2011/8/11 0:00,卢军,中级,23,3301.33,0.05,大卡,-307.46,140.98,36.09,西南,云南,家具产品,书架,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2011/8/13 0:00
55200,2010/8/28 0:00,佩云,中级,4,649.2385,0.1,火车,-830.72,205.99,2.79,西南,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/8/30 0:00
56293,2010/1/5 0:00,吕一楠 ,其它,44,712.64,0.06,火车,-27.72,16.91,6.25,西南,云南,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/1/6 0:00
56321,2010/4/16 0:00,吕一楠 ,中级,24,135.88,0.1,火车,-75.39,5.8,5.59,西南,云南,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/4/18 0:00
56322,2011/9/30 0:00,李绵红,中级,16,1689.137,0.07,火车,71.06,125.99,8.08,西南,云南,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/10/2 0:00
57281,2010/4/20 0:00,周智宇,高级,19,1851.62,0.09,大卡,-220.84,100.98,35.84,西南,云南,家具产品,书架,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2010/4/22 0:00
57314,2010/10/12 0:00,韦毅祥,低级,22,846.35,0.04,空运,341.53,37.94,5.08,西南,云南,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/10/16 0:00
58626,2011/12/30 0:00,李大智,高级,21,10469.03,0.07,大卡,2608.72,500.98,26,西南,云南,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/1/2 0:00
58626,2011/12/30 0:00,孙大强,高级,18,835.55,0.04,火车,171.59,45.19,1.99,西南,云南,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2011/12/31 0:00
